race_id,state_postal,state_name,description,category,summary,race_call_status,last_updated,precincts_reporting,precincts_total,precincts_reporting_pct,expected_vote_pct,total_votes,candidate_id,option_name,vote_count,vote_pct
20241105MT83131,MT,Montana,Montana Initiative 127. Requires majority vote to win elections.,Voting & Elections,"This proposed amendment to Montana's constitution would require a majority vote, instead of a plurality, for candidates to win elections. The Legislature would create a system for determining a winner when no candidate receives a majority.",Called,2024-11-07T04:13:39.177000+00:00,707,731,96.72,96.69,549106,2,Yes,214806,39.12
20241105NC83058,NC,North Carolina,North Carolina Amendment 1. Prohibits noncitizens from voting.,Voting & Elections,"This proposed amendment to North Carolina's constitution would state that only U.S. citizens can vote, repealing an existing provision stating that every citizen can vote.",Called,2024-11-06T19:37:25.724000+00:00,2658,2658,100.0,99.0,5345317,167935,For,4147539,77.59
20241105NC83058,NC,North Carolina,North Carolina Amendment 1. Prohibits noncitizens from voting.,Voting & Elections,"This proposed amendment to North Carolina's constitution would state that only U.S. citizens can vote, repealing an existing provision stating that every citizen can vote.",Called,2024-11-06T19:37:25.724000+00:00,2658,2658,100.0,99.0,5345317,167936,Against,1197778,22.41
20241105ND83047,ND,North Dakota,North Dakota Measure 5. Legalizes recreational marijuana.,Drug Policy,This ballot measure would legalize the recreational use of marijuana for people age 21 and older.,Called,2024-11-06T23:23:31.519000+00:00,385,385,100.0,99.0,361894,3,No,190161,52.55
20241105ND83047,ND,North Dakota,North Dakota Measure 5. Legalizes recreational marijuana.,Drug Policy,This ballot measure would legalize the recreational use of marijuana for people age 21 and older.,Called,2024-11-06T23:23:31.519000+00:00,385,385,100.0,99.0,361894,2,Yes,171733,47.45
20241105NE83084,NE,Nebraska,Nebraska Measure 439. Creates a constitutional right to abortion.,Abortion,This proposed amendment to Nebraska's constitution would create a right to abortion until fetal viability or when needed to protect the life or health of a pregnant woman.,Called,2024-11-06T23:58:53.814000+00:00,1293,1326,97.51,97.5,899506,167936,Against,461833,51.34
20241105NE83084,NE,Nebraska,Nebraska Measure 439. Creates a constitutional right to abortion.,Abortion,This proposed amendment to Nebraska's constitution would create a right to abortion until fetal viability or when needed to protect the life or health of a pregnant woman.,Called,2024-11-06T23:58:53.814000+00:00,1293,1326,97.51,97.5,899506,167935,For,437673,48.66
20241105NE83085,NE,Nebraska,Nebraska Measure 434. Limits abortion after the first trimester.,Abortion,This proposed amendment to Nebraska's constitution would limit abortion after the first trimester of pregnancy except when medically necessary or in cases of sexual assault or incest.,Called,2024-11-06T23:58:59.596000+00:00,1293,1326,97.51,97.5,897658,167935,For,496586,55.32
20241105NE83085,NE,Nebraska,Nebraska Measure 434. Limits abortion after the first trimester.,Abortion,This proposed amendment to Nebraska's constitution would limit abortion after the first trimester of pregnancy except when medically necessary or in cases of sexual assault or incest.,Called,2024-11-06T23:58:59.596000+00:00,1293,1326,97.51,97.5,897658,167936,Against,401072,44.68
20241105NE83199,NE,Nebraska,Nebraska Measure 437. Legalizes medical marijuana.,Drug Policy,This ballot measure would legalize the medical use of marijuana.,Called,2024-11-06T23:58:57.147000+00:00,1293,1326,97.51,97.5,868315,167935,For,614236,70.74
20241105NE83199,NE,Nebraska,Nebraska Measure 437. Legalizes medical marijuana.,Drug Policy,This ballot measure would legalize the medical use of marijuana.,Called,2024-11-06T23:58:57.147000+00:00,1293,1326,97.51,97.5,868315,167936,Against,254079,29.26
20241105NV83077,NV,Nevada,Nevada Question 3. Requires open primaries and ranked choice voting in general elections.,Voting & Elections,"This proposed amendment to Nevada's constitution would require open primaries in which candidates of all parties appear on the same ballot, with the top five vote recipients for each office advancing to the general election. Ranked choice voting would be used in general elections.",Called,2024-11-07T03:16:30.181000+00:00,1417,1643,86.24,86.25,1259252,3,No,683675,54.29
20241105NV83077,NV,Nevada,Nevada Question 3. Requires open primaries and ranked choice voting in general elections.,Voting & Elections,"This proposed amendment to Nevada's constitution would require open primaries in which candidates of all parties appear on the same ballot, with the top five vote recipients for each office advancing to the general election. Ranked choice voting would be used in general elections.",Called,2024-11-07T03:16:30.181000+00:00,1417,1643,86.24,86.25,1259252,2,Yes,575577,45.71
20241105NV83081,NV,Nevada,Nevada Question 6. Creates a constitutional right to abortion.,Abortion,This proposed amendment to Nevada's constitution would create a right to abortion until fetal viability or when needed to protect the life or health of a pregnant woman.,Called,2024-11-07T03:15:33.817000+00:00,1417,1643,86.24,86.24,1254113,2,Yes,794217,63.33
20241105NV83081,NV,Nevada,Nevada Question 6. Creates a constitutional right to abortion.,Abortion,This proposed amendment to Nevada's constitution would create a right to abortion until fetal viability or when needed to protect the life or health of a pregnant woman.,Called,2024-11-07T03:15:33.817000+00:00,1417,1643,86.24,86.24,1254113,3,No,459896,36.67
20241105NV83082,NV,Nevada,Nevada Question 7. Requires photo identification to vote.,Voting & Elections,"This proposed amendment to Nevada's constitution would require people to provide photo identification to vote in person, or if voting by mail to provide the last four digits of their driver's license or Social Security number.",Called,2024-11-07T03:15:36.774000+00:00,1417,1643,86.24,86.25,1256094,2,Yes,924839,73.63
20241105NV83082,NV,Nevada,Nevada Question 7. Requires photo identification to vote.,Voting & Elections,"This proposed amendment to Nevada's constitution would require people to provide photo identification to vote in person, or if voting by mail to provide the last four digits of their driver's license or Social Security number.",Called,2024-11-07T03:15:36.774000+00:00,1417,1643,86.24,86.25,1256094,3,No,331255,26.37
20241105NY83165,NY,New York,New York Proposal 1. Expands civil rights protections.,Abortion,"This proposed amendment to New York's constitution would expand anti-discrimination and equal protection rights to include ethnicity, national origin, age, disability, sex, sexual orientation, gender identity and expression, pregnancy outcomes and reproductive health care.",Called,2024-11-06T22:57:28.476000+00:00,12800,13413,95.43,95.43,7255289,2,Yes,4486785,61.84
20241105NY83165,NY,New York,New York Proposal 1. Expands civil rights protections.,Abortion,"This proposed amendment to New York's constitution would expand anti-discrimination and equal protection rights to include ethnicity, national origin, age, disability, sex, sexual orientation, gender identity and expression, pregnancy outcomes and reproductive health care.",Called,2024-11-06T22:57:28.476000+00:00,12800,13413,95.43,95.43,7255289,3,No,2768504,38.16
20241105OH83057,OH,Ohio,Ohio Issue 1. Revises redistricting procedures for U.S. and state legislative offices.,Voting & Elections,This proposed amendment to Ohio's constitution would remove redistricting duties from elected officials and instead create a 15-member citizen commission to redistrict U.S. and state legislative offices based partly on the partisan breakdown of previous statewide elections. ,Called,2024-11-06T22:06:16.708000+00:00,8878,8878,100.0,99.0,5361722,3,No,2883705,53.78
